"RBP","AS_Site","Contribution","Direction"
"RBM4","chr11_66640123_66646026",710.885127744812,"+"
"HNRNPAB","chr5_178209447_178210131",707.915684205362,"+"
"RBM5","chr7_12687043_12688168",707.805775105681,"+"
"MBNL1","chr3_152300367_152414940",705.822628045466,"+"
"CPSF6","chr12_69260197_69262372",705.131145421012,"+"
"HNRNPH3","chr10_68338642_68339139",704.790342214219,"+"
"HNRNPH3","chr10_68337333_68338502",704.080495375776,"+"
"FUBP1","chr1_77967101_77967626",700.486629375397,"+"
"EIF3G","chr2_171687627_171690146",698.820327965655,"+"
"RBM6","chr3_50061748_50061961",697.83450190285,"+"
"EIF3B","chr17_75130867_75130964",695.281767043172,"+"
"TIPARP","chr14_94110797_94111624",694.210838746231,"+"
"LARP1","chr17_32365487_32366664",692.103420144396,"+"
"RNPS1","chr9_70276731_70277309",684.877771647351,"+"
"HNRNPH1","chr5_179615595_179616125",678.803751975905,"+"
"ZFR","chr2_215379317_215382211",677.773622489812,"-"
"HNRNPH1","chr10_73043957_73046924",677.326454483724,"+"
"HNRNPK","chr9_83978452_83980502",675.822868613348,"+"
"PABPC1","chr3_120633328_120638454",674.921644329543,"+"
"ZC3H13","chr15_44380976_44413335",674.680038464245,"+"
"SFPQ","chr19_43649143_43655438",674.549501580701,"-"
"RBM4","chr11_66640123_66646026",674.315180304347,"+"
"ZRANB2","chr17_7224393_7224483",674.105492474441,"+"
"PCBP1","chr2_197490296_197490526",669.003548310661,"-"
"EIF3B","chr7_2379511_2380278",662.582272355615,"+"
"SNRPC","chr4_83105020_83114665",661.210417681171,"-"
"LSM3","chr7_44798904_44799246",660.775778812515,"-"
"FUS","chr16_31182664_31183860",660.529652026259,"+"
"RBMS1","chr2_160285044_160286968",660.066705661557,"+"
"RBM12","chr20_35632025_35632162",659.023571376162,"+"
"PUF60","chr13_27622009_27622874",658.371864068453,"-"
"SRRM1","chr1_24662804_24663182",658.311826650633,"+"
"LSM4","chr6_32553966_32584108",654.26102388564,"-"
"PABPC4","chr1_39563741_39564470",653.621458802919,"+"
"NAA38","chr3_28340622_28347584",652.68188981028,"+"
"SLTM","chr15_58898852_58901259",651.930873302623,"+"
"A1CF","chr11_116837407_116837558",645.649221527237,"-"
"HNRNPA3","chr7_6432959_6436361",644.26692733091,"+"
"PARP10","chr7_95372338_95390153",644.130789458242,"+"
"PABPC4","chr1_39563922_39564470",643.343937775374,"+"
"HNRNPH1","chr12_56782232_56784852",642.46854643991,"+"
"ZFP36","chr19_54200893_54201159",642.412260188937,"-"
"MBNL1","chr17_74481326_74484000",639.322838883006,"+"
"TRMT1","chr19_54664849_54665132",639.206733740902,"-"
"HNRNPH1","chr12_8125677_8135584",638.589175726578,"+"
"RBM6","chr3_146538044_146544466",637.644160479567,"-"
"EIF4B","chr9_97641691_97643203",636.857576700848,"+"
"CSDE1","chr6_33085906_33086218",633.484556549185,"-"
"ZC3HAV1","chr7_139080780_139083779",633.267034493036,"+"
"RBM12","chr20_35632234_35632310",633.086547495277,"+"
"RBM4","chr11_66617057_66639699",632.305914149902,"+"
"MBNL1","chr17_74481326_74484000",631.484415828596,"+"
"PCBP2","chr12_53462567_53465931",627.974015741801,"+"
"SRRM1","chr1_24663224_24666814",626.404950582497,"+"
"RBM25","chr14_73099750_73103191",626.252849864538,"+"
"HNRNPH3","chr10_68332235_68337198",625.215157377231,"+"
"TROVE2","chr5_36606735_36607223",625.113679499784,"+"
"SLTM","chr15_58898852_58901259",624.615429974374,"+"
"RPS3","chr3_183842447_183844230",624.147244328715,"+"
"PUM2","chr2_108588425_108659604",622.865066913043,"-"
"FXR1","chr11_8956298_8962091",619.610949289887,"+"
"LARP4B","chr12_118266759_118358918",619.464179225473,"+"
"SRRM2","chr1_196951016_196957890",618.031452068002,"+"
"PUM1","chr17_6641152_6641752",616.90073767093,"-"
"EIF4H","chr2_230327301_230357804",616.295814766117,"-"
"A1CF","chr10_133351433_133352003",615.649436121517,"-"
"ZFP36","chr19_39406928_39407332",615.414647950396,"-"
"PABPC1","chr6_52791980_52792855",614.925484133505,"+"
"PCBP2","chr12_53462567_53465931",614.812916642236,"+"
"RPS3","chr10_133355844_133356639",612.771661195975,"+"
"ASCC1","chr10_72216138_72223887",611.072034993362,"+"
"NCL","chr1_153991034_153991114",610.155627708913,"-"
"A1CF","chr8_17869004_17874018",609.364829170575,"+"
"SNRPC","chr1_228140363_228145510",605.588678054797,"-"
"RBM47","chr20_41533570_41618339",605.258001299039,"+"
"TIPARP","chr13_99296163_99296671",604.205873390806,"-"
"GRSF1","chr19_39407109_39407742",603.792378019116,"-"
"SNRPG","chr2_97580568_97584943",603.034301782401,"+"
"SNRPB2","chr11_88326443_88334936",601.860481650732,"-"
"TRNAU1AP","chr1_28560732_28561345",601.81889835569,"+"
"RBM17","chr15_79889354_79896871",599.103958147954,"+"
"PABPC3","chr6_31354665_31355106",599.071815241328,"+"
"PARP14","chr2_112831422_112833373",596.027408821429,"-"
"HNRNPA2B1","chr20_35632923_35664759",595.323948141851,"+"
"SF1","chr2_73950732_73958145",594.032671085048,"+"
"MKRN1","chr17_27642348_27643524",593.625019905475,"-"
"TLR2","chr1_192575929_192576773",592.697484695887,"-"
"HNRNPR","chr1_23338608_23340851",591.878166892302,"+"
"A1CF","chr11_116830637_116830772",591.410441779321,"+"
"TLR2","chr12_7471397_7471845",590.740182162094,"-"
"YTHDF2","chr19_38309643_38315868",590.594792760719,"+"
"HNRNPF","chr6_32934987_32937171",588.796477702906,"-"
"ZFP36L2","chr6_33068804_33069640",588.638023957134,"-"
"ZFP36L2","chr6_33068804_33069640",586.581984494614,"-"
"SAFB2","chr19_5613527_5616127",586.067927637646,"+"
"PARP10","chr1_173914919_173917218",585.395537257216,"+"
"SNRPD2","chr12_53467843_53468779",584.722011116118,"+"
"A1CF","chr10_93601046_93601170",581.553930905579,"+"
"G3BP2","chr16_635340_636093",581.521981780792,"+"
"RBM47","chr4_40544506_40630462",581.411479324518,"+"
"A1CF","chr9_114323247_114323662",579.694505383801,"+"
"FUS","chr10_30434748_30438915",578.6365845549,"-"
"YTHDC1","chr5_36629587_36671028",578.101729524048,"+"
"A1CF","chr17_28368059_28368520",577.185459396238,"+"
"RBM12","chr20_35659014_35664759",576.911929285274,"+"
"A1CF","chr1_196943938_196957890",576.204534246578,"-"
"LARP7","chr4_112637603_112644667",576.015825482082,"+"
"SF1","chr3_158804371_158807039",575.886702870198,"+"
"NCL","chr2_40430304_40451459",575.295446177316,"+"
"SAFB2","chr19_5610688_5611119",574.964976751313,"+"
"SAFB","chr19_5648043_5648988",574.160990789929,"+"
"RBM39","chr12_32564289_32581959",572.241884960906,"+"
"SRRM1","chr1_24662804_24666814",572.131729674332,"+"
"PCBP2","chr15_81306166_81306419",571.871458529382,"+"
"RBMX","chr13_114282943_114286518",571.833444248104,"+"
"MBNL1","chr19_44914489_44914671",571.368790344749,"+"
"KRR1","chr1_151693483_151693592",569.915936774533,"+"
"PNO1","chr3_48694525_48695089",568.079468037207,"+"
"ASCC1","chr7_23273614_23274053",566.813136291438,"-"
"RBM14","chr11_66617057_66639699",566.41954557917,"+"
"HNRNPH1","chr6_32522174_32589642",565.781624188801,"+"
"ZFR","chr1_111120693_111126226",565.410096280821,"-"
"SNRPF","chr19_46839620_46845992",564.95542679689,"-"
"SNRPG","chr1_234607852_234608494",564.905871800252,"+"
"YTHDC1","chr3_108047292_108057476",564.712276107463,"+"
"SFPQ","chr1_35178036_35181134",564.018919946427,"+"
"SNRPC","chr14_91465419_91466260",563.82985571213,"+"
"ZC3H15","chr2_64573068_64579485",563.707328383923,"+"
"A1CF","chr9_114323805_114324017",562.605154428434,"+"
"PABPC4","chr1_39563741_39564470",562.362130760589,"+"
"RBM26","chr4_152870848_152872451",561.855855385954,"+"
"NCL","chr8_100948900_100951455",561.536630543669,"-"
"CPEB4","chr3_38125881_38126509",561.491695941012,"+"
"MBNL1","chr3_152269092_152299404",560.83239361513,"+"
"POLR2G","chr10_72216138_72230365",560.679498764212,"-"
"NOL8","chr9_92321746_92323235",560.665379954925,"+"
"EIF4H","chr4_87007424_87046165",558.674106015346,"-"
"SNRPD1","chr1_153535360_153536116",557.833848645183,"-"
"HNRNPA3","chr2_156330188_156332479",557.46867369277,"+"
"YTHDC1","chr3_108047292_108057476",557.267941657952,"+"
"YTHDC1","chr1_153991034_153991114",556.703216339449,"+"
"PCBP1","chr6_41940585_42048500",556.634402470466,"+"
"TRA2B","chr2_197489247_197493323",556.579083061858,"-"
"SNRPC","chr7_23260773_23266480",555.860310736993,"-"
"GTF3A","chr11_65536750_65537036",555.797124491941,"+"
"PABPC1","chr1_112703806_112707077",555.685084270893,"-"
"RBMS1","chr2_160281364_160282256",555.397328870679,"+"
"A1CF","chr6_31656080_31656471",554.688963282152,"+"
"A1CF","chr1_161222994_161223349",552.562134029025,"-"
"SRRM1","chr1_24660799_24661312",551.730665547333,"+"
"LSM1","chr2_64251834_64252419",551.567579744763,"+"
"LARP4","chr6_79003858_79004372",551.231230288166,"+"
"HNRNPA1","chr11_17282943_17295323",550.75163641115,"+"
"SAFB2","chr10_30434378_30447781",550.62425365304,"-"
"HNRNPH1","chr19_58351687_58352282",550.232515900748,"+"
"A1CF","chr6_52792987_52794124",549.514728567784,"+"
"KRR1","chr12_96003981_96006313",549.449747696908,"-"
"MKRN2","chr13_32537027_32538777",549.443834281304,"-"
"SRRM2","chr16_2769284_2769861",549.227692836784,"+"
"PABPC1","chr1_112703806_112707077",549.011067931899,"-"
"LENG9","chr2_218383070_218384242",548.704100236955,"+"
"SAFB","chr19_5667164_5667352",548.340073572723,"+"
"NAA38","chr1_42456628_42457246",548.207333530992,"+"
"EIF3G","chr17_81891833_81894466",546.707671123188,"-"
"SNRPC","chr6_37022370_37025791",545.682649591865,"-"
"PARP10","chr10_94938850_94941857",545.499588723283,"+"
"CSDE1","chr9_72357056_72360109",540.977534028523,"-"
"A1CF","chr3_186613354_186615684",540.594636964842,"+"
"EIF4H","chr2_230327301_230357804",540.590404241776,"-"
"LSM3","chr12_120200891_120201082",539.310545749187,"-"
"ZRANB2","chr1_27668535_27669232",538.961712571903,"+"
"A1CF","chr6_131576735_131579110",538.853603198209,"+"
"HNRNPA3","chr7_6432959_6436361",538.806756917549,"+"
"ZFP36L2","chr6_2896190_2897925",538.756773591429,"-"
"HNRNPA2B1","chr20_35632923_35664759",538.457858151194,"+"
"PABPC1","chr12_32564289_32581959",538.323774845822,"+"
"ZFP36L1","chr1_228108318_228108954",537.206340839971,"+"
"ZFR","chr9_121107995_121113501",537.090114769655,"+"
"TRMT1","chr4_105146979_105233896",536.914979424358,"-"
"HNRNPL","chr10_79808832_79814612",536.857604927867,"+"
"A1CF","chr4_71746205_71752517",536.700544037593,"+"
"RRP7A","chr19_582578_582749",536.621653109194,"-"
"A1CF","chr12_102840515_102843645",536.560272510377,"+"
"TIPARP","chr20_32052486_32054215",535.379784550391,"+"
"ZC3H15","chr3_141404031_141442388",535.116137109693,"+"
"PARP12","chr12_113225336_113226727",535.093481071604,"+"
"PCBP1","chr17_7076636_7076732",534.102674306864,"-"
"LARP1","chr1_1722831_1723799",533.862469519079,"+"
"A1CF","chr6_52797637_52799180",533.696268785154,"+"
"ZCRB1","chr16_80976179_80981805",533.492563659258,"-"
"SNRPE","chr12_101726497_101728900",533.252885160565,"-"
"TRMT1","chr7_1936897_1957628",531.455175178955,"+"
"HNRNPA3","chr19_53555908_53563762",531.388319759751,"-"
"RBM12","chr20_35632923_35664759",530.823486874359,"+"
"RBM25","chr2_119367644_119368187",530.581576098289,"-"
"HNRNPH1","chr12_8125677_8135584",530.238757935096,"+"
"SNRPD3","chr2_218382375_218385146",529.955925182453,"-"
"HNRNPM","chr18_77105286_77132579",529.883478834424,"+"
"RBM39","chr16_24927732_24930783",529.644221027804,"+"
"RC3H1","chr4_81448281_81456650",528.232633819129,"+"
"U2AF1L4","chr6_127314896_127327001",527.835265186129,"+"
"PUM1","chr1_30945483_30950132",527.006416099842,"+"
"SRRM1","chr1_24662804_24666814",526.768080532122,"+"
"SNRPB2","chr1_193023036_193023843",526.229190767521,"+"
"RPS3","chr1_158293302_158293454",525.906219977765,"+"
"DAZAP1","chr1_116395285_116396597",525.645401595392,"+"
"PPP1R10","chr15_50432499_50439008",524.957051356939,"+"
"LSM4","chr11_45971367_45979759",524.816544731182,"+"
"RBM3","chr1_162590511_162597791",523.852094503041,"+"
"HNRNPM","chr3_186784696_186785882",523.416645523917,"+"
"U2AF1L4","chr1_183633152_183635516",523.292195071986,"-"
"A1CF","chr12_121840048_121843709",523.16183957807,"+"
"ZFP36L1","chr3_133748584_133753594",522.888342388989,"+"
"HNRNPD","chr3_187725629_187728359",522.86503831236,"+"
"A1CF","chr11_46728837_46739047",521.912226349633,"-"
"SFPQ","chr9_68972473_68975663",521.817892173351,"+"
"MBNL1","chr1_153638448_153642242",521.334712215345,"+"
"KRR1","chr7_36594430_36597634",521.307125124241,"-"
"A1CF","chr4_71752650_71754410",520.973215611156,"+"
"SF1","chr1_228108318_228109148",520.6164854612,"+"
"SNRPN","chr5_80427545_80434108",520.152094773112,"+"
"RBM47","chr2_169824640_169824781",519.569307053881,"+"
"RBMX","chr8_129871496_129903311",518.411621295599,"+"
"HNRNPA1L2","chr21_46635763_46636438",518.025906992197,"+"
"HNRNPH1","chr14_94110797_94111658",517.663481933921,"+"
"MBNL1","chr5_76543554_76562395",517.109193776469,"+"
"TRA2A","chr1_158356591_158356763",516.836578623447,"+"
"SNRPB2","chr15_79889354_79896790",516.478102153232,"+"
"HNRNPH1","chr8_17885571_17895446",515.972294081611,"+"
"ZNF638","chr20_50941209_50942030",515.780141235143,"+"
"HNRNPK","chr2_227325427_227332418",515.35584049491,"+"
"ZFP36L1","chr6_32553966_32555482",515.345236194263,"-"
"A1CF","chr11_6432017_6437045",515.107675992183,"+"
"GTF3A","chr2_85402158_85413983",515.053764477317,"-"
"HNRNPD","chr6_18399699_18439683",514.464810995771,"-"
"PUM2","chr15_85658590_85662387",513.819623199669,"-"
"A1CF","chr10_93600803_93600917",513.602027831417,"+"
"PABPC1","chr6_52791980_52792855",513.349121296488,"+"
"PABPC4","chr1_39570002_39571233",512.940969812429,"+"
"HNRNPH1","chr19_58351687_58352282",512.52352628358,"+"
"PUF60","chr8_143818534_143820665",512.211461122907,"+"
"SNRPD1","chr19_54278992_54279344",511.994872882334,"-"
"TROVE2","chr1_241597997_241604259",511.489691784354,"+"
"RPS3","chr6_31587733_31588517",511.47751410236,"-"
"RBM5","chr17_29672129_29676819",511.107158647364,"-"
"A1CF","chr1_196825671_196826828",510.684182106383,"+"
"RPS3","chr12_110496203_110499534",510.639989906374,"+"
"A1CF","chr7_99667065_99672579",509.767704249618,"+"
"PABPC4","chr19_43652371_43656478",509.256456427284,"-"
"CSDE1","chr7_44796793_44798747",509.007183425866,"-"
"SF1","chr3_158804371_158807039",508.98414976402,"+"
"RBM33","chr10_26751783_26765217",508.807371892615,"+"
"SNRPD2","chr6_2959342_2971532",508.055048629742,"+"
"SNRPG","chr1_228140363_228145510",507.778401290417,"-"
"ZFP36L2","chr9_72357056_72360109",507.704495134201,"-"
"SNRPD3","chr2_218382375_218385146",507.108485618105,"-"
"RBM39","chr20_35739017_35740524",506.912862848222,"+"
"HELZ","chr19_10830378_10830977",506.570989125911,"+"
"RPS3","chr1_228140363_228145510",506.186389151415,"+"
"NOL8","chr15_33065074_33153047",505.948072468497,"+"
"SNRPD2","chr19_44946075_44948465",505.652245077308,"+"
"LSM4","chr11_134248484_134249166",505.202736182745,"+"
"LARP4","chr17_78709732_78782201",505.174539793474,"-"
"A1CF","chr6_52791980_52792855",505.004084408011,"+"
"ZFP36","chr17_74562897_74563918",504.673002823944,"+"
"ZFP36L1","chr10_31852597_31861394",504.262269814147,"+"
"A1CF","chr6_31656626_31657224",504.119126478587,"+"
"SFPQ","chr1_35176471_35177318",503.952116915181,"+"
"RNF113A","chr1_161673229_161673959",503.944631039477,"-"
"SNRPG","chr6_31587318_31587815",503.898935983572,"-"
"HNRNPA3","chr2_156330188_156332479",503.782782650731,"+"
"ACIN1","chr19_3452666_3453762",503.781677826995,"+"
"YBX1","chr19_58351687_58352282",503.446859493088,"+"
"RBMX","chr6_134174586_134175543",501.324987412008,"-"
"RBMX","chr1_161588442_161589564",500.176716537984,"-"
"HNRNPA1","chr17_18251813_18251998",500.056851585218,"+"
"YBX1","chr3_23917173_23917849",499.983988609528,"+"
"EIF2S1","chr12_122519029_122520503",499.72065651154,"+"
"SF1","chr1_228108318_228109148",499.580473702165,"+"
"PABPC1","chr4_86936481_86948497",498.258189199942,"+"
"RBM34","chr9_83969380_83970161",498.228082293888,"-"
"G3BP2","chr3_23917239_23917849",498.161924713041,"-"
"PDCD11","chr7_101240906_101244959",497.887293207015,"-"
"HNRNPH1","chr11_130122513_130126699",497.831772165108,"+"
"ZC3H13","chr11_46367747_46368004",497.543040810718,"+"
"YTHDC1","chr1_53855051_53860055",497.401747252713,"+"
"QKI","chr16_21403606_21403858",497.276198686721,"+"
"SNRPD2","chr10_133351433_133352006",496.456070587835,"+"
"MCM3AP","chr11_64317132_64317263",496.349011583471,"-"
"TTC14","chr5_178213103_178214795",496.083401634135,"-"
"HNRNPM","chr14_94388660_94390456",495.889938847993,"+"
"SNRPB2","chr3_52523576_52523870",495.065019793784,"+"
"RBMX","chr3_9689082_9701789",494.699614808004,"+"
"RBMX","chr3_9689082_9701789",494.628400500112,"+"
"QKI","chr16_69715077_69718122",494.500605674522,"+"
"SLBP","chr15_81306166_81306422",494.430125666061,"-"
"HNRNPK","chr3_52819518_52819753",494.233609450052,"+"
"MCM3AP","chr12_47206145_47206510",493.891533880942,"+"
"SFPQ","chr1_35178036_35187000",493.76059399595,"+"
"EIF2S1","chr12_113394016_113398514",493.52711654556,"-"
"RBM33","chr11_60939638_60942034",493.399007519721,"+"
"YTHDF3","chr16_75641723_75644282",493.040551856299,"+"
"A1CF","chr7_134536772_134537050",492.774303007954,"+"
"RBM12","chr2_156330171_156330667",492.226636239896,"-"
"U2AF1L4","chr19_35743904_35744011",492.034776993869,"+"
"HELZ","chr12_62302920_62304672",491.758068174811,"-"
"LSM6","chr1_160554146_160579391",491.381223712806,"-"
"SNRPB","chr19_45423381_45423780",491.36664244897,"+"
"HNRNPC","chr19_12949159_12949277",491.358839918063,"-"
"HNRNPF","chr11_60383288_60392684",491.224195397095,"-"
"PARP10","chr6_32949399_32950518",491.089784186309,"-"
"RBM12","chr20_35632923_35664801",490.972063326291,"+"
"PCBP2","chr2_201140439_201145377",490.620711369115,"+"
"PARP10","chr4_71746205_71752517",490.504131954158,"+"
"YTHDC1","chr8_143818534_143820665",490.405910760835,"+"
"THUMPD1","chr4_102826636_102827591",489.978280862478,"-"
"A1CF","chr1_161223425_161223594",489.718764928263,"+"
"RPS3","chr16_66552793_66563121",489.631675003173,"-"
"HNRNPA3","chr11_66438259_66438709",489.217432322865,"+"
