"RBP","AS_Site","Contribution","Direction"
"SRRT","chr7_100885040_100885215",3164.33245145147,"+"
"HNRNPF","chr11_73716362_73718784",3144.14123360922,"-"
"RPS3","chr8_98042775_98044942",3141.56777502074,"+"
"CIRBP","chr19_1269410_1270866",3093.59854510376,"-"
"MATR3","chr5_139294028_139314674",3085.62806635433,"+"
"RBM6","chr3_49975392_50048244",3075.09431163983,"+"
"SNRPD2","chr2_101006071_101018997",3015.85332420484,"+"
"HNRNPD","chr4_82355401_82356536",3008.79959384138,"+"
"ACIN1","chr14_23081836_23090521",2968.72799432045,"+"
"RPS3","chr11_8684081_8684717",2945.40366056852,"+"
"TIA1","chr2_70216499_70216752",2943.58534440903,"+"
"PHC3","chr3_170178938_170181686",2899.67456779505,"+"
"RBM4","chr11_66617057_66624213",2880.43197641336,"-"
"EIF4B","chr15_44715701_44716328",2869.81450205209,"+"
"CCAR1","chr10_68737048_68740628",2861.74706857044,"+"
"RRP7A","chr9_89418118_89455887",2857.65321047953,"-"
"PCBP1","chr2_97187401_97190977",2841.3054793441,"+"
"PABPC1","chr8_100713181_100715470",2840.1334632507,"-"
"TRA2B","chr3_185926734_185937824",2830.58342921611,"+"
"HDLBP","chr22_40400813_40401592",2818.13994735716,"-"
"SAMD9L","chr7_93146040_93148193",2804.62049089278,"+"
"SRRT","chr7_100887859_100888041",2786.51728864885,"+"
"RPS3","chr11_812633_812759",2777.37544161954,"+"
"PCBP1","chr6_32553966_32554689",2757.37390908866,"+"
"ZC3H13","chr13_46045516_46052697",2747.54522464784,"+"
"FUBP1","chr1_77968203_77969021",2691.8947059434,"+"
"HNRNPH1","chr5_179618323_179620891",2668.2222153013,"+"
"PCBP2","chr12_53467843_53468776",2635.09966995665,"+"
"SNRNP70","chr19_49101471_49102113",2631.05656212999,"+"
"PCBP1","chr12_124912199_124912655",2613.97728125455,"-"
"HNRNPF","chr15_44715701_44716328",2607.91472538581,"+"
"HNRNPH3","chr10_68337333_68338502",2605.68811417184,"+"
"HNRNPL","chr1_155853806_155857146",2596.93655818944,"-"
"RNF113A","chr15_44715701_44716328",2594.38444205288,"+"
"U2AF1","chr21_43095743_43101365",2583.89472757153,"+"
"HNRNPK","chr9_83973399_83974516",2571.47103785529,"-"
"RBM14","chr11_66617057_66639699",2570.96256972371,"-"
"PCBP1","chr12_124912883_124913567",2569.27759013304,"-"
"PCBP1","chr21_8393174_8437384",2543.10441595225,"+"
"PCBP1","chr6_32553966_32555482",2523.58446356235,"-"
"NAA38","chr17_7856843_7856984",2503.13531758148,"+"
"YTHDF2","chr13_52659249_52662648",2497.26348749378,"-"
"SAMD9L","chr7_93146040_93147087",2492.66609188338,"+"
"PCBP1","chr21_8393623_8437833",2488.78409682254,"+"
"PCBP1","chr12_124912199_124912883",2486.02954412356,"-"
"HNRNPA1","chr15_44715701_44716328",2465.98547720883,"+"
"SAMD3","chr19_8551874_8551967",2460.01643396834,"-"
"LSM1","chr8_38163840_38171964",2455.8665518576,"+"
"STIM1","chr10_46219744_46254020",2447.94812867302,"-"
"ARAP2","chr10_91163081_91222688",2443.64758240974,"-"
"SLTM","chr7_48094827_48101823",2433.50438199644,"-"
"PCBP1","chr6_29890296_29945233",2429.00428722644,"+"
"RBMX","chr15_44715701_44716328",2423.39197020751,"+"
"RPS3","chr11_75401733_75402351",2418.55595966616,"+"
"POLR2G","chr12_53601021_53625950",2416.21352727526,"-"
"EIF3G","chr15_44715701_44716328",2409.92557640649,"+"
"POLR2G","chr11_62761904_62762541",2397.17000432285,"+"
"PUM1","chr15_44715701_44716328",2390.82322473563,"+"
"NONO","chr5_171400210_171405301",2379.35533330458,"+"
"TRA2B","chr3_185926734_185931576",2371.97850586427,"+"
"SNRPG","chr4_2469258_2470986",2359.7845996388,"-"
"SNRNP70","chr19_49107712_49107821",2352.83962246076,"+"
"PHC3","chr3_170136665_170171372",2347.57310926296,"+"
"PCBP1","chr11_308438_314921",2328.25860557342,"+"
"RBM14","chr10_28614685_28616172",2316.70752146511,"-"
"ARAP1","chr11_72714321_72726619",2305.55391515599,"+"
"RPS3","chr1_153990802_153991114",2287.21846641195,"+"
"SCML4","chr6_107720993_107744948",2274.76534587772,"+"
"PCBP1","chr19_49476566_49478907",2272.01044278907,"-"
"PCBP1","chr12_124913039_124913723",2259.55403849528,"-"
"HNRNPF","chr10_43396590_43409089",2231.59701626878,"-"
"HELZ","chr17_67149985_67151044",2230.1598916234,"+"
"G3BP1","chr7_36594430_36597634",2214.07732743621,"+"
"RALY","chr6_11213727_11232503",2213.70860015261,"-"
"RPS3","chr8_17923188_17935588",2206.12096412856,"-"
"HNRNPH3","chr10_68337333_68338502",2201.17885300043,"+"
"PTBP1","chr22_29278216_29282389",2194.45085962934,"-"
"PCBP1","chr11_62528281_62531794",2187.32152389898,"+"
"TMEM63A","chr17_36211217_36212481",2184.34052240495,"-"
"RPS3","chr6_32553399_32553855",2178.68417349483,"-"
"TRMT1","chr15_44715701_44716328",2174.25249362824,"+"
"RBM25","chr21_33260727_33262792",2171.93427406991,"-"
"SNRNP70","chr4_82359639_82373445",2169.184963335,"-"
"RPS3","chr2_102387000_102390058",2167.77265324267,"-"
"PCBP1","chr1_159032691_159045296",2160.47305565488,"+"
"SF3A1","chr9_92289426_92293610",2148.31775817692,"-"
"SNRNP70","chr2_218401712_218402113",2140.1979840193,"-"
"G3BP1","chr5_151772036_151786602",2129.43617474419,"+"
"RBMXL1","chr4_53377923_53379072",2128.78712360291,"-"
"YBX1","chr1_159814292_159815535",2122.4366643511,"-"
"ZRANB2","chr12_108623587_108623647",2121.53847745767,"+"
"SNRNP70","chr12_121578946_121579611",2113.7241993575,"-"
"RPS3","chr11_75399577_75400693",2112.99832492703,"+"
"PCBP1","chr10_87326672_87328192",2098.49813622793,"+"
"ZFP36L2","chr19_54508184_54509034",2097.74969077581,"-"
"RPS3","chr15_69453020_69453646",2087.52561872219,"+"
"SNRPD2","chr10_68901471_68906710",2087.25370817531,"-"
"PARP14","chr8_144792140_144792244",2080.50051575091,"-"
"RNPC3","chr11_108224136_108227594",2071.90228682534,"-"
"ZFR","chr19_10682704_10683124",2061.41690292637,"-"
"PCBP1","chr12_124912199_124913339",2060.21271606012,"-"
"NCBP2","chr11_10807381_10808276",2057.02165270426,"+"
"EIF3G","chr8_144792140_144792244",2056.15182421507,"+"
"PCBP1","chr15_74837435_74837756",2050.4057995853,"+"
"RPS3","chr16_66552793_66565885",2045.46239749008,"-"
"SF3A1","chr1_23959998_23960932",2039.38940006603,"-"
"SLBP","chr20_34516461_34519419",2038.26184116444,"+"
"LSM4","chr14_70329236_70359518",2036.21747490555,"-"
"SRRM2","chr17_81512360_81512733",2033.3569703011,"-"
"PUF60","chr19_9420218_9433667",2031.63356257951,"-"
"HNRNPK","chr15_44715701_44716328",2029.92312950805,"+"
"SAMD3","chr1_153638448_153642242",2029.51315638962,"-"
"SRRM2","chr16_2752846_2757471",2025.16859308577,"+"
"PARN","chr1_40769415_40770396",2023.5515197712,"-"
"CSDE1","chr19_45165194_45178092",2017.76926912996,"-"
"ZRANB2","chr1_71065137_71065677",2015.87399159604,"+"
"LSM4","chr5_146878195_146878700",2015.65672649631,"-"
"KRR1","chr15_72775097_72783245",2007.69291937247,"-"
"RNPC3","chr10_100525615_100525721",2002.63746653067,"-"
"PARP14","chr2_95958663_95958756",2000.71765558866,"-"
"PCBP1","chr12_124912434_124912662",1998.97039344241,"+"
"EWSR1","chr19_17838390_17839179",1996.47415175804,"-"
"SF1","chr11_64770408_64776497",1995.94495203451,"+"
"SAMD3","chr2_85696056_85696987",1988.78583321253,"-"
"HNRNPR","chr11_134252916_134253298",1988.43728096623,"-"
"TIA1","chr6_125292909_125298713",1985.61409008317,"-"
"PABPC1","chr8_100703359_100704279",1983.32452394633,"-"
"HNRNPF","chr10_73824084_73837467",1981.94433126594,"-"
"SAMHD1","chr13_42888502_42889210",1976.28988290408,"-"
"RBM19","chr7_33035988_33040871",1974.45917570386,"-"
"NAA38","chr15_66494552_66497641",1974.24351268266,"-"
"SNRNP70","chr1_244862730_244863616",1971.72996785753,"-"
"CIRBP","chr12_66138165_66138723",1967.95143795772,"-"
"SNRPG","chr9_121075067_121088295",1956.55465973812,"-"
"PCBP2","chr12_53467293_53468776",1949.17969056099,"+"
"PCBP1","chr6_29944179_30261261",1947.0410309298,"+"
"HNRNPH1","chr15_44715701_44716328",1946.79771486262,"+"
"CARHSP1","chr19_29702977_29715124",1941.33496855841,"-"
"ELAVL1","chr7_48094827_48106872",1937.42926333086,"-"
"SAMHD1","chr4_77776392_77819589",1925.71705011373,"-"
"SF1","chr5_179623164_179623594",1924.8133084267,"-"
"SRRM2","chr12_118266759_118359520",1916.58358861888,"-"
"RPS3","chr10_114491878_114545004",1907.24402669459,"+"
"SCML4","chr1_1203968_1204054",1904.4420886204,"-"
"MBNL1","chr3_152415111_152445281",1902.49281379116,"-"
"KRR1","chr15_50424514_50432337",1902.37690247821,"-"
"SAMD3","chr1_155853806_155857158",1901.03235113621,"-"
"TRA2B","chr8_132775645_132777795",1900.84724244341,"-"
"TRA2B","chr9_273100_276993",1897.30508244119,"-"
"LSM5","chr10_87814612_87818166",1890.40661606771,"-"
"SAMD3","chr2_85694470_85694915",1890.2433773657,"-"
"SAMSN1","chr12_9669795_9680189",1888.61632030135,"-"
"SCML4","chr9_93032873_93034543",1884.65047776929,"-"
"RBM22","chr17_82478918_82479937",1880.63272315729,"+"
"RBM26","chr10_1044171_1048863",1880.02532259291,"-"
"PCBP1","chr6_32517752_32553375",1877.13333227272,"-"
"ZC3H12A","chr1_37474629_37475461",1876.55453885081,"+"
"SSB","chr6_127719823_127807215",1875.68002511756,"-"
"YTHDC1","chr19_34221738_34226407",1872.52309774539,"-"
"PCBP1","chr22_42514779_42576980",1870.94380768325,"-"
"RBMX","chr7_36674009_36724021",1870.55343916566,"+"
"PUF60","chr18_21659343_21663677",1868.41613497567,"-"
"PABPC4","chr1_206913042_206913861",1865.93132775755,"+"
"EWSR1","chr17_7224069_7224320",1863.30741216618,"-"
"EWSR1","chr17_3720402_3723687",1859.93075981138,"-"
"EIF4H","chr15_43793083_43793686",1858.46928001685,"+"
"RBM8A","chr13_42888502_42889210",1851.47720166,"-"
"SAFB","chr3_30606977_30644746",1842.25528646331,"-"
"RBM4","chr11_66617057_66639699",1838.2439788945,"+"
"SASH3","chr3_111624404_111637198",1834.66090356427,"-"
"G3BP2","chr19_14396473_14397076",1834.65951756293,"-"
"PHC3","chr3_170145521_170171372",1831.59614320791,"+"
"RBM26","chr3_43286675_43303097",1830.57141845615,"-"
"SAMSN1","chr1_23109127_23168765",1829.58933401701,"-"
"RBMXL1","chr12_110496203_110502048",1829.53532034299,"-"
"SNRPD2","chr7_72999859_73000357",1825.28475733324,"-"
"RBM39","chr22_41680364_41682355",1824.40715959229,"-"
"RALY","chr12_43755261_43758729",1822.93758358643,"-"
"PABPC1","chr12_53467843_53468776",1821.82763255685,"-"
"LARP7","chr11_61008845_61011069",1816.65439066919,"+"
"TARDBP","chr12_55951783_55952340",1816.02405272247,"+"
"YTHDF2","chr5_149513209_149517793",1815.11774752779,"-"
"U2AF1","chr15_101966223_101972595",1814.85337233071,"-"
"PCBP1","chr12_124912583_124913039",1814.4063144221,"-"
"HNRNPM","chr1_154261697_154266500",1812.96691185566,"-"
"HNRNPA2B1","chr20_5109445_5112729",1812.30165565732,"-"
"SAMD3","chr2_85696056_85698563",1810.99904688134,"-"
"ZC3HAV1","chr6_107749813_107824125",1809.74646748241,"-"
"STIM1","chr2_196146055_196154967",1809.73006249438,"+"
"SASH3","chr1_160750423_160752185",1804.93810175663,"-"
"ZFP36L2","chr11_104905557_104908834",1804.11513711247,"-"
"YTHDF2","chr3_49022768_49022877",1801.98616715168,"-"
"MKRN1","chr10_72072548_72088139",1801.4879352415,"-"
"TIA1","chr1_11081238_11082533",1801.3767701556,"+"
"ARAP2","chr2_230238381_230238760",1800.682518497,"-"
"PARN","chr2_175118369_175130137",1799.77741547602,"-"
"HNRNPH1","chr17_75843519_75844220",1796.87091285424,"-"
"HNRNPA1P4","chr8_85217502_85220305",1796.72701036731,"-"
"ZFP36L2","chr2_213057099_213147707",1796.4398198978,"-"
"EIF4H","chr8_127989291_127996560",1796.39148895951,"-"
"MATR3","chr5_57214193_57221375",1795.71430593108,"-"
"HNRNPA1P4","chr11_67353077_67353363",1791.96741463019,"-"
"YTHDC1","chr7_50327757_50368005",1791.5983136382,"-"
"PCBP1","chr6_29943543_29944120",1791.10449683779,"-"
"RBM6","chr3_49962685_49967197",1787.43719274897,"+"
"SLTM","chr17_82244831_82248874",1787.06838693609,"-"
"RBM19","chr12_53442733_53443540",1786.96225948283,"+"
"TIAL1","chr3_195662733_195663623",1785.69813925425,"-"
"SASH3","chr14_34605717_34609637",1785.37212059489,"+"
"PCBP1","chr4_36229645_36244178",1783.46362116713,"+"
"RPS3","chr6_29889500_29896822",1783.3175804325,"-"
"SRRM1","chr1_24646789_24647078",1780.68503789919,"+"
"PARN","chr17_64500773_64502009",1778.98238207422,"-"
"EIF3B","chr20_58891544_58891718",1778.306410552,"-"
"LSM1","chr12_14950724_14961536",1778.22492170719,"-"
"HNRNPM","chr3_28241812_28316332",1777.74141235763,"-"
"STIM1","chr1_944800_945041",1775.53456159898,"-"
"PCBP1","chr12_124912434_124913118",1772.79711479516,"-"
"POLR2G","chr9_75077580_75078325",1772.69536516309,"-"
"HNRNPH2","chr4_53399839_53425871",1772.0207725772,"-"
"CCAR1","chr11_2979237_2991793",1770.50327189421,"-"
"SAMD3","chr2_85694470_85694752",1766.89377500593,"-"
"MBNL1","chr3_152269092_152335110",1763.38440348524,"-"
"RPS3","chr5_143400852_143434531",1760.71004624107,"-"
"RBM3","chr12_6551001_6551397",1760.59519739246,"-"
"PCBP1","chr12_124912050_124912962",1758.52162375105,"-"
"NCL","chr6_75237988_75241175",1754.24602442273,"-"
"ZCRB1","chr21_8393174_8437384",1751.92994147395,"-"
"PCBP1","chr21_8393926_8438136",1751.6981960607,"+"
"PCBP1","chr10_14932955_15016903",1750.52821112476,"-"
"ARAP2","chr4_108165163_108167554",1750.35934092755,"-"
"RBM42","chr17_75843519_75843662",1750.25939968222,"-"
"PCBP1","chr2_95918042_95921606",1748.34918089812,"+"
"PCBP1","chr1_1666019_1734689",1747.90087255669,"-"
"RBMXL1","chr10_6580927_6582137",1747.19689639186,"-"
"TIAL1","chr10_119582557_119588151",1743.86292801085,"+"
"THUMPD1","chr6_57099141_57100602",1737.10004913907,"-"
"SNRNP70","chr4_82857764_82861630",1736.5275356337,"-"
"TRA2B","chr6_29725202_29928224",1732.48654214297,"-"
"RPS3","chr12_6451014_6451155",1732.27010382754,"-"
"RBM3","chr6_87569590_87589921",1730.18508848206,"-"
"SNRPB","chr12_66138165_66138721",1729.72812712272,"-"
"RBM3","chr5_180793097_180802679",1729.24227511298,"-"
"ZC3HAV1","chr1_209779374_209781344",1728.33398080847,"-"
"PCBP1","chr20_58895684_58903527",1725.30354240491,"+"
"PCBP1","chr7_102567083_102568009",1723.4492363485,"+"
"SRRT","chr18_11884627_11884878",1722.95089318312,"-"
"YTHDF3","chr10_70600932_70602644",1722.88925531657,"+"
"CPSF6","chr10_118336423_118341726",1721.62350667823,"-"
"PCBP1","chr12_124912408_124913092",1719.96731706868,"-"
"SAMD3","chr16_26584944_26594709",1718.99808164846,"+"
"SF3A1","chr17_64006735_64007740",1717.58831991574,"-"
"TIAL1","chr3_180970358_180975312",1716.98240955818,"-"
"TARDBP","chr10_118341927_118342269",1714.55511309451,"-"
"TIA1","chr9_83978452_83980118",1713.23531719736,"+"
"ZFR","chr1_110896733_110899123",1713.03564264895,"+"
"SCML4","chr1_9651802_9710423",1711.72664812149,"-"
"PUF60","chr2_55577356_55579678",1711.53974963015,"-"
"RRP7A","chr7_142801961_142802104",1710.45746323099,"-"
"SNRPF","chr16_4476487_4483636",1706.36584571032,"-"
"GRSF1","chr2_96549805_96550028",1706.30840166307,"-"
"SNRPF","chr17_76727178_76729689",1703.65151090793,"-"
"SAMD3","chr10_35207051_35211655",1703.49166222797,"-"
"RBM8A","chr2_85694470_85694752",1698.15445478602,"+"
"SAMD9L","chr14_100369258_100376259",1693.24790479406,"-"
"TARDBP","chr22_21629407_21629601",1689.9704942478,"-"
"SCML4","chr11_105070870_105071498",1689.09391536872,"-"
"LSM4","chr1_203008810_203014891",1688.5911891896,"-"
"PCBP1","chr12_124911971_124913111",1687.9700688476,"+"
"CIRBP","chr19_9420218_9434797",1687.59251104248,"-"
"ZFR","chr12_122341697_122347374",1686.63870329409,"-"
"PCBP1","chr12_124912050_124913190",1685.33853428294,"-"
"PUM2","chr1_155308965_155310063",1684.56932521961,"-"
"GTF3A","chr6_75621625_75623899",1681.01543618616,"-"
"PUM2","chr12_15882819_15889927",1680.3251367839,"-"
"ARAP2","chr3_170178938_170181701",1679.05772302874,"-"
"SASH3","chr12_96003064_96006313",1671.0172114931,"-"
"SPEN","chr18_47896809_47930799",1670.91408674591,"+"
"SNRPA","chr5_91375613_91378693",1670.30440776184,"-"
"HNRNPK","chr9_83978452_83980118",1669.6319717523,"-"
"HNRNPC","chr2_112652798_112652888",1667.93060782775,"-"
"PUM2","chr11_17282943_17286633",1667.54076145933,"-"
"MEX3C","chr2_160367391_160493288",1667.09639515487,"-"
"SRRM1","chr8_100288267_100303159",1666.34353847907,"-"
"RC3H2","chr6_106293106_106316100",1665.89065370345,"-"
"HTATSF1","chr1_159814292_159815427",1665.49161064654,"-"
"STIM1","chr17_35026561_35063575",1665.20630659383,"-"
"NCL","chr11_105070870_105071498",1664.914455031,"-"
"SF1","chr13_37004561_37005956",1664.51750115816,"-"
"G3BP2","chr11_83274740_83280140",1664.16244302407,"-"
