Site,PTR40-0913,PTC70-0617,TTH47-20171120,TTY70-20170706,TTR83-1202,NTH71-0913,PTS52-0729,PD10_ZZM_TTC33-20170512,TTC1-20171208,TTC92-0729,TTR156-0913,TTR168-0913,TTR47-0617,TTR102-0913,NTC34-1010,PTH38-20171219,TTY31-0913,PTC20-20171120,TTY21-20170706,NTH11-20171219,TTY65-1011,TTH23-0616P,TTH102-20171120,TTC160-0617,PTR53-0616A,PTH23-0729,TTC21-20170706,PTR62-1011,TTC176-0617,TTY21-0616A,NTH-30-0617,TTR43-1010,NTC55-1202,PD10_ZZM_TTH4-0616A,PTR57-1010,NTS33-0729,TTR12-0617,TTH80-0913,TTR61-0617,PTR45-1011,PTC19-1010,TTC70-1202,PD10_ZZM_LNTC34-0512,TTC150-0616A,NTC15-0913,TTC267-1011,PTH66-0729,PD10_ZZM_TTC9-20170512,NTC81-0729,TTY42-20171120,PTC40-20171120,NTS-49-0617,NTC5-1010,TTR133-0616A,TTY91-1202,NTY56-1202,TTH149-0913,PTY2-20171120,PTH81-0913,TTR108-1010,TTC51-0913,PD10_ZZM_PTC68-20171208,NTH94-0729,PTC78-0913,PTS74-0729,TTH96-20171120,TTS56-0617,PTR108-0617,PTH6-20171120,PTC91-20171120,TTC145-0729,PTR56-0913,PTS25-0729,TTR20-0617,TTC30-20171219,PTC31-1010,TTR78-0617,PTC49-0913,TTC157-20171120,TTR48-1010,start,end
10_11314258_11321206,,,,,,,,78.0,13.0,,,39.0,,,37.0,50.0,,,,,,,,16.0,,,,,,,,,,,,,,,,,15.0,16.0,,,,,,,,12.0,,,,,53.0,12.0,23.0,,,20.0,,,,,,56.0,,69.0,14.0,,,,,16.0,,,42.0,,,,10_11314258,10_11321206
10_11314270_11321206,,,,,,,,,3.0,,,,42.0,,,,,,,,64.0,81.0,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,,53.0,,,,10_11314270,10_11321206
10_114163329_114174014,,,50.0,119.0,,,,,,42.0,,18.0,,,,,,,,,,,55.0,,72.0,,,105.0,,,,54.0,,61.0,,,,,,,,,,,,,,,,44.0,,,,,,,51.0,,,,92.0,,,,,,,,,,,,62.0,,,,29.0,,,,10_114163329,10_114174014
10_114173265_114174014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_114173265,10_114174014
10_114448026_114451623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_114448026,10_114451623
10_114448020_114451623,,,,,,,,,,,,,,,,,97.0,,,,55.0,,,,75.0,,,,,29.0,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,38.0,41.0,,,,,28.0,,,,60.0,20.0,,,14.0,23.0,,,,19.0,75.0,,,10_114448020,10_114451623
10_118336423_118342269,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,35.0,,,,,10_118336423,10_118342269
10_118341927_118342269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,22.0,,,,,,,,,,,,16.0,,,,,12.0,,10_118341927,10_118342269
10_119582608_119588151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_119582608,10_119588151
10_119582557_119588151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_119582557,10_119588151
10_122374806_122393180,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_122374806,10_122393180
10_122392372_122393180,,24.0,,,,,,,,,,,,,,,113.0,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_122392372,10_122393180
10_124762558_124765391,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,29.0,,,18.0,,,,,,,,,,,,,,,,,,,,,10_124762558,10_124765391
10_124760503_124765391,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,18.0,,,,,,,,89.0,,,,21.0,,,,,,90.0,,,,,,,,,,,10_124760503,10_124765391
10_125729104_125729357,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,10.0,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,10_125729104,10_125729357
10_125725838_125729357,,,,,,,,,,,,,,,,,105.0,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,10_125725838,10_125729357
10_13109015_13109111,,,,29.0,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,10_13109015,10_13109111
10_13108289_13109111,,,,20.0,,,,,,,,13.0,,,,,,,,,,,,,24.0,,,,,,,86.0,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,8.0,,4.0,,,,,,,,,,,,,,,,,,,,10_13108289,10_13109111
10_13100302_13109111,,,,,90.0,30.0,,,,,,49.0,82.0,,,,,,,,,37.0,,,35.0,,,26.0,,,,58.0,,69.0,31.0,,,15.0,17.0,22.0,,,,72.0,52.0,,,,,16.0,56.0,,,,,21.0,,,16.0,21.0,47.0,,,11.0,,,,,,84.0,,,,,,,,32.0,24.0,,10_13100302,10_13109111
10_14553387_14572228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_14553387,10_14572228
10_14530515_14572228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,17.0,,,,,,,,,12.0,,46.0,,,,,,,,,,39.0,,,,,20.0,,55.0,,,10_14530515,10_14572228
10_14553387_14604239,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_14553387,10_14604239
10_14530515_14604239,,,,,,,,,,,29.0,20.0,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_14530515,10_14604239
10_14945189_14949035,13.0,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,36.0,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,10_14945189,10_14949035
10_14947609_14949035,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,25.0,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,10_14947609,10_14949035
10_16817084_16817314,21.0,,,20.0,,,,,,,,,,,13.0,,,,,,,,,,90.0,,,,,,,,,23.0,,,21.0,,35.0,,,,,,,,,,41.0,,,,,,,14.0,,,,,14.0,45.0,,,,,,82.0,,,,,38.0,12.0,,,,,,,10_16817084,10_16817314
10_16782084_16817314,9.0,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,10_16782084,10_16817314
10_21534494_21534644,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_21534494,10_21534644
10_21534520_21534644,,,,,,,,58.0,,,,,,,,,,,,,16.0,28.0,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_21534520,10_21534644
10_26751783_26765217,,,,,,,,,,,,,,,,,22.0,,,,,,,,51.0,,,,,,12.0,,,,,,,,,41.0,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,21.0,,35.0,,,,,,,,,10_26751783,10_26765217
10_26759238_26765217,,,,,,43.0,,,,,,,,,,,,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,49.0,,,,,69.0,,,,,,,,,,10_26759238,10_26765217
10_27145590_27148905,,,,,,14.0,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,15.0,,,,,,,10_27145590,10_27148905
10_27147668_27148905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_27147668,10_27148905
10_28533007_28533997,,,,,,,,,,,36.0,,,,,,,,,,,89.0,,,55.0,,,,,,,20.0,,,,,,,,51.0,39.0,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,58.0,,,,,21.0,,,,,,,,10_28533007,10_28533997
10_28533620_28533997,,,,17.0,,,,,,,,,,,,,,,,,,23.0,,19.0,36.0,,,,,,,22.0,,39.0,,,11.0,,,,,,,,61.0,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,27.0,,,,,,,,,10_28533620,10_28533997
10_28590832_28608185,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,5.0,,52.0,,,,,,,57.0,,,,,,36.0,,,,,,,,,11.0,,,34.0,,,,,,,,,,59.0,,,42.0,,,,,,,,,10_28590832,10_28608185
10_28596041_28608185,,,,19.0,,,,,,,38.0,,,,,,,,,,,33.0,,27.0,,,,,,,,21.0,,,,,17.0,,,,,,187.0,,117.0,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,10_28596041,10_28608185
10_31387266_31461036,,,,,,,,,81.0,,,,,,,234.0,,,,,,,,,,,,39.0,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_31387266,10_31461036
10_31319292_31461036,,,,,,,,,,,45.0,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,18.0,,,,,,,,24.0,,,,,37.0,,,10.0,,,,,,,10_31319292,10_31461036
10_32446397_32451591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,10_32446397,10_32451591
10_32446631_32451591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_32446631,10_32451591
10_35201486_35206894,,,,,,,,70.0,,,,42.0,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,10_35201486,10_35206894
10_35195214_35206894,,,,,,,,,,,,35.0,,,,,27.0,,,,,,,,,,24.0,,,,,196.0,,,,,,,,,,,,,,,,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,10_35195214,10_35206894
10_3780229_3781640,27.0,,88.0,,,38.0,,80.0,83.0,21.0,79.0,,,,,199.0,135.0,56.0,,,125.0,184.0,18.0,,,,,50.0,,16.0,,110.0,,247.0,119.0,,63.0,232.0,11.0,52.0,27.0,32.0,161.0,,172.0,153.0,,110.0,63.0,,140.0,11.0,62.0,146.0,,24.0,28.0,,,,31.0,,70.0,14.0,,28.0,18.0,81.0,25.0,52.0,,159.0,,31.0,1279.0,55.0,,100.0,114.0,293.0,10_3780229,10_3781640
10_3779590_3781640,1.0,,125.0,,,42.0,,,,,,,,,,,,73.0,,,,,,,67.0,,,,,43.0,,,27.0,,4.0,,,,,,,,,86.0,34.0,,,,,,,,26.0,,,46.0,,,,,,,,,,,,,,23.0,,,,,,,,46.0,46.0,,10_3779590,10_3781640
10_46248971_46254020,,,,,,,,,,,,,,,,,,,,,,,,,116.0,,,,,,,,20.0,,,,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,10_46248971,10_46254020
10_46219706_46254020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_46219706,10_46254020
10_46268857_46269381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_46268857,10_46269381
10_46263608_46269381,,,,,,,,,,,,,,,,,,,,,,,,,103.0,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,26.0,,,,,,,,,10_46263608,10_46269381
10_6019941_6024243,13.0,,,9.0,,,,,,,2.0,,121.0,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,10_6019941,10_6024243
10_6021693_6024243,59.0,,,85.0,,,,,,,531.0,207.0,,634.0,,,,,,,96.0,,,,,,,14.0,,,,102.0,,,,,,,162.0,26.0,,,,,,,,,,357.0,,,,,,,,,,,,,,,,,12.0,,,,,,,31.0,,,,,,343.0,10_6021693,10_6024243
10_6112361_6113507,58.0,,,,,67.0,,,,,,25.0,,17.0,21.0,,,,,,,,22.0,,,,,,72.0,,,65.0,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,10_6112361,10_6113507
10_6113068_6113507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,10_6113068,10_6113507
10_62049483_62050887,,,55.0,,,,,,,,,107.0,,32.0,,,,,,,,,11.0,,,,8.0,,,,,233.0,,,,,34.0,,,56.0,,,,,,,,,47.0,32.0,,21.0,,20.0,24.0,,,,,186.0,,,,,,,,,,,,15.0,,,,,,,,14.0,10_62049483,10_62050887
10_62000321_62050887,,,,26.0,,,,,,,26.0,,,,,,,,,,,,50.0,,93.0,,85.0,55.0,,,,,,,,,35.0,122.0,,,,,204.0,,,,,88.0,,6.0,127.0,,,,,,,,46.0,,,,,,,160.0,25.0,,,,,,40.0,,314.0,,,,,166.0,10_62000321,10_62050887
10_61940408_62050887,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_61940408,10_62050887
10_63219983_63264650,,,,,,61.0,,,,,,56.0,,,,,,,,,86.0,,,,,,,,108.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,10_63219983,10_63264650
10_63217331_63264650,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,12.0,,,,,19.0,,,,,,,152.0,,75.0,,34.0,,,,,,,,,,65.0,,,,,,,,,,,43.0,93.0,,,,,,,,,,34.0,10_63217331,10_63264650
10_6580927_6583675,56.0,,,,,,,,,,,,,,,,,,,,,158.0,,,,,42.0,,,,,,,,96.0,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,10_6580927,10_6583675
10_6582201_6583675,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,16.0,,,24.0,,,32.0,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_6582201,10_6583675
10_68332235_68337198,,,,,,,,,,,,,,45.0,,,,,20.0,,,,,,,,,,,,,,,71.0,,,,,,28.0,,,,,112.0,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,55.0,,,,,,,,,10_68332235,10_68337198
10_68332216_68337198,,,,,,,,25.0,,,,,,,22.0,,,,,43.0,10.0,,22.0,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,30.0,,,52.0,91.0,,,34.0,10_68332216,10_68337198
10_68337333_68338502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,10.0,47.0,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,8.0,,,,,106.0,,,42.0,10_68337333,10_68338502
10_68337996_68338502,,,,,,,,59.0,,,,,,76.0,32.0,,,,24.0,36.0,24.0,,37.0,,,,,,,,,,,97.0,,,,,,49.0,,,,,135.0,,,,,,,,,,,,,,,,,,,56.0,,55.0,,,,,,46.0,30.0,,,78.0,,,,,10_68337996,10_68338502
10_68338642_68339139,,,,,,,,,,,,,,,21.0,,,,,,,,32.0,,,,,,,,,,,7.0,,,,,17.0,29.0,,,,,132.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,53.0,21.0,,,47.0,10_68338642,10_68339139
10_68338687_68339139,,,,,,,,48.0,,,,,,93.0,,,,,24.0,41.0,15.0,,,,,,,,,,,,,104.0,,,,,,44.0,,,,,,,,,,,,,,,,,,,,40.0,,,,54.0,,36.0,,,,,,44.0,27.0,,,,67.0,,,,10_68338687,10_68339139
10_68755536_68757293,,,72.0,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,125.0,,,,,,,,,,10_68755536,10_68757293
10_68756483_68757293,31.0,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,24.0,,10_68756483,10_68757293
